session_id,timestamp,robot_id,type,campaign_id,duration_s,outcome,converted
S-002177,2026-06-01 11:22:00,R-10,qr_scan,C-PROMO2,26,completed,false
S-000343,2026-06-05 20:40:00,R-02,qr_scan,C-VENUE,60,completed,true
S-000349,2026-06-06 11:41:00,R-02,screen_tap,,20,abandoned,false
S-001732,2026-06-04 19:28:00,R-08,screen_tap,,69,error,false
S-001582,2026-06-04 19:31:00,R-07,voice_chat,,26,completed,false
S-000209,2026-06-12 17:37:00,R-01,qr_scan,C-BRANDX,80,completed,false
S-002199,2026-06-02 11:36:00,R-10,voice_chat,,87,completed,false
S-001748,2026-06-05 19:44:00,R-08,qr_scan,C-PROMO2,42,completed,true
S-000772,2026-06-01 11:45:00,R-04,qr_scan,C-VENUE,79,abandoned,true
S-000493,2026-06-14 12:40:00,R-02,screen_tap,,17,completed,false
S-000196,2026-06-11 17:04:00,R-01,qr_scan,C-VENUE,56,error,true
S-002072,2026-06-09 20:08:00,R-09,qr_scan,C-VENUE,44,completed,false
S-001129,2026-06-09 11:24:00,R-05,screen_tap,,21,abandoned,false
S-002289,2026-06-07 16:53:00,R-10,qr_scan,C-VENUE,20,completed,false
S-002382,2026-06-12 13:21:00,R-10,qr_scan,C-PROMO2,41,completed,false
S-001192,2026-06-12 11:49:00,R-05,screen_tap,,85,completed,false
S-001942,2026-06-02 17:51:00,R-09,voice_chat,,75,completed,false
S-001738,2026-06-05 10:41:00,R-08,voice_chat,,77,completed,false
S-001076,2026-06-05 17:09:00,R-05,screen_tap,,30,completed,false
S-000329,2026-06-05 11:39:00,R-02,qr_scan,C-PROMO2,54,completed,true
S-001889,2026-06-14 10:56:00,R-08,qr_scan,C-PROMO2,85,completed,false
S-000921,2026-06-10 12:30:00,R-04,qr_scan,C-PROMO2,68,completed,false
S-000629,2026-06-07 12:51:00,R-03,qr_scan,C-PROMO2,50,abandoned,true
S-000311,2026-06-04 11:01:00,R-02,screen_tap,,33,completed,false
S-000352,2026-06-06 15:04:00,R-02,voice_chat,,46,abandoned,false
S-002244,2026-06-04 16:05:00,R-10,qr_scan,C-BRANDX,42,completed,true
S-001639,2026-06-08 11:23:00,R-07,voice_chat,,65,error,false
S-001090,2026-06-06 15:58:00,R-05,screen_tap,,32,completed,false
S-000919,2026-06-09 21:49:00,R-04,screen_tap,,61,completed,false
